TITULO,ANO,NOMES_AJUSTADOS
A COGNITIONINSPIRED KNOWLEDGE REPRESENTATION APPROACH FOR KNOWLEDGEBASED INTERPRETATION SYSTEMS,2015,"['MARA ABEL', 'JOEL LUIS CARBONERA']"
A COGNITIVE BASED MODEL FOR DIALOGUE MANAGEMENT IN MULTIMODAL INTERACTION SYSTEMS,2015,"['CRISTIANO ANDRE DA COSTA', 'SANDRO JOSE RIGO']"
A COGNITIVELY INSPIRED APPROACH FOR KNOWLEDGE REPRESENTATION AND REASONING IN KNOWLEDGEBASED SYSTEMS,2015,"['MARA ABEL', 'JOEL LUIS CARBONERA']"
A COLLABORATION MODEL TO RECOMMEND NETWORK SECURITY ALERTS BASED ON THE MIXED HYBRID APPROACH,2016,"['DANIEL MACEDO BATISTA', 'FABIO KON']"
A COLLABORATIVE APPROACH TO TEACHING SOFTWARE STARTUPS,2018,"['AFONSO HENRIQUE CORREA DE SALES', 'RAFAEL PRIKLADNICKI']"
A COLLABORATIVE SITUATIONAWARE BASED MODEL TO SUPPORT INFORMATION EXCHANGE AMONG MEDICAL TEAMS,2016,"['JORGE LUIS VICTORIA BARBOSA', 'RODRIGO DA ROSA RIGHI']"
A COLLABORATIVE SITUATIONAWARE MODEL TO SUPPORT INFORMATION EXCHANGE AMONG MEDICAL TEAMS,2016,"['JORGE LUIS VICTORIA BARBOSA', 'RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA']"
A COLLABORATIVE VIRTUAL WORKSPACE FOR SOFTWARE DEVELOPMENT,2015,"['ADENILTON JOSE DA SILVA', 'EMERSON CABRERA PARAISO']"
A COMMUNITARIAN MICROGRID STORAGE PLANNING SYSTEM INSIDE THE SCOPE OF A SMART CITY,2017,"['LUIZ SATORU OCHI', 'IGOR MACHADO COELHO']"
A COMPARATIVE ANALYSIS OF MOEAS CONSIDERING TWO DISCRETE OPTIMIZATION PROBLEMS,2017,"['LUIZ GUSTAVO ALMEIDA MARTINS', 'GINA MAIRA BARBOSA DE OLIVEIRA']"
A COMPARATIVE STUDY OF MACHINE TRANSLATION FOR MULTILINGUAL SENTENCELEVEL SENTIMENT ANALYSIS,2020,"['FABRICIO BENEVENUTO DE SOUZA', 'ADRIANO CESAR MACHADO PEREIRA']"
A COMPARATIVE STUDY ON UNSUPERVISED DOMAIN ADAPTATION FOR COFFEE CROP MAPPING,2018,"['JEFERSSON ALEX DOS SANTOS', 'MARIO SERGIO FERREIRA ALVIM JUNIOR']"
A COMPARISON BETWEEN EVOLUTIONARY AND LOCAL SEARCH TECHNIQUES APPLIED TO NOC DESIGN SPACE EXPLORATION,2020,"['MONICA MAGALHAES PEREIRA', 'MARCIO EDUARDO KREUTZ', 'SILVIA MARIA DINIZ MONTEIRO MAIA']"
A COMPARISON OF DIFFERENT TIME INTEGRATION SCHEMES IN THE CONTEXT OF IMAGEBASED NMR RELAXATION SIMULATIONS USING EXPLICIT FEM,2022,"['RICARDO LEIDERMAN', 'ANDRE MAUES BRABO PEREIRA']"
A COMPARISON OF FORECAST DYNAMICAL BEHAVIOR PARAMETER AND DIRECT VERIFICATION OF LATTICES CONFIGURATION USING A CELLULAR AUTOMATA MODEL TO TASK SCHEDULING,2016,"['MURILLO GUIMARAES CARNEIRO', 'GINA MAIRA BARBOSA DE OLIVEIRA']"
A COMPARISON OF STREAM MINING ALGORITHMS ON BOTNET DETECTION,2020,"['RODRIGO SANCHES MIANI', 'ELAINE RIBEIRO DE FARIA PAIVA']"
A COMPARISON ON SUPERVISED MACHINE LEARNING CLASSIFICATION TECHNIQUES FOR SEMANTIC SEGMENTATION OF AERIAL IMAGES OF RAIN FOREST REGIONS,2015,"['JOSE REGINALDO HUGHES CARVALHO', 'EULANDA MIRANDA DOS SANTOS']"
A COMPILER FOR AUTOMATIC SELECTION OF SUITABLE PROCESSINGINMEMORY INSTRUCTIONS,2019,"['ANTONIO CARLOS SCHNEIDER BECK FILHO', 'LUIGI CARRO']"
A COMPLEMENTARY ANALYSIS OF THE BEHAVIOR OF BPMN TOOLS REGARDING PROCESS MODELING PROBLEMS,2022,"['JOSE PALAZZO MOREIRA DE OLIVEIRA', 'LUCINEIA HELOISA THOM']"
A COMPLEX NETWORKBASED ANYTIME DATA STREAM CLUSTERING ALGORITHM,2015,"['FABRICIO ENEMBRECK', 'JEAN PAUL BARDDAL']"
A COMPLEX NETWORKBASED APPROACH TO THE ANALYSIS AND CLASSIFICATION OF IMAGES,2015,"['PEDRO HENRIQUE BUGATTI', 'PRISCILA TIEMI MAEDA SAITO']"
A COMPREHENSIVE ANALYSIS OF DELAYED INSERTIONS IN METRIC ACCESS METHODS,2021,"['HUMBERTO LUIZ RAZENTE', 'MARIA CAMILA NARDINI BARIONI']"
A COMPREHENSIVE ANALYSIS OF THE DIVERSE ASPECTS INHERENT TO IMAGE DATA STREAM CLASSIFICATION,2022,"['ELAINE RIBEIRO DE FARIA PAIVA', 'MARIA CAMILA NARDINI BARIONI']"
A COMPREHENSIVE COMPARISON OF ENDTOEND APPROACHES FOR HANDWRITTEN DIGIT STRING RECOGNITION,2020,"['ALCEU DE SOUZA BRITTO JR', 'LUIZ EDUARDO SOARES DE OLIVEIRA']"
A COMPREHENSIVE DATASET OF BRAZILIAN FACTCHECKING STORIES,2022,"['ANA PAULA COUTO DA SILVA', 'FABRICIO BENEVENUTO DE SOUZA', 'JUSSARA MARQUES DE ALMEIDA']"
A COMPUTATIONAL ARCHITECTURE FOR LEARNING OBJECTS AUTHORING AND PERSONALIZATION IN UBIQUITOUS LEARNING ENVIRONMENTS,2018,"['FABIANO AZEVEDO DORCA', 'RAFAEL DIAS ARAUJO']"
